city_name_in_dutch,city_id,year_of_cardata,total_households,total_households_with_car,percentage_car_having_households_of_total_households,province_or_region,count_of_submunicipalities,population_in_2000,population_in_2024,area_in_km2,population_density_per_km2,prosperity_index,population_increase_compared_to_2000
Sint-Joost-ten-Node,83,2023,12449,3496,28.08,Brussels Hoofdstedelijk Gewest,1,22097,26895,1.16,23185,54.4,21.71
Sint-Gillis,81,2023,25858,7345,28.41,Brussels Hoofdstedelijk Gewest,1,42458,49293,2.53,19483,76.1,16.1
Koekelberg,77,2023,9201,4252,46.21,Brussels Hoofdstedelijk Gewest,1,16211,22648,1.18,19193,68.6,39.71
Schaarbeek,79,2023,56439,23919,42.38,Brussels Hoofdstedelijk Gewest,1,105692,130405,7.9,16507,68.9,23.38
Sint-Jans-Molenbeek,82,2023,39137,17236,44.04,Brussels Hoofdstedelijk Gewest,1,71219,98365,6.02,16340,57.8,38.12
Etterbeek,73,2023,28135,9836,34.96,Brussels Hoofdstedelijk Gewest,1,39404,49775,3.17,15702,81.3,26.32
Elsene,72,2023,51291,17134,33.41,Brussels Hoofdstedelijk Gewest,1,73174,89278,6.41,13928,92.2,22.01
Ganshoren,75,2023,11509,6123,53.2,Brussels Hoofdstedelijk Gewest,1,19757,25564,2.44,10477,80.2,29.39
Jette,76,2023,22561,11593,51.39,Brussels Hoofdstedelijk Gewest,1,39749,54107,5.19,10425,79.9,36.12
Vorst,87,2023,26628,11892,44.66,Brussels Hoofdstedelijk Gewest,1,45555,58044,6.29,9228,82.2,27.42
Evere,74,2023,18976,9832,51.81,Brussels Hoofdstedelijk Gewest,1,31348,45234,5.12,8835,73.2,44.3
Sint-Agatha-Berchem,80,2023,10068,5855,58.15,Brussels Hoofdstedelijk Gewest,1,18735,25787,2.95,8741,82.5,37.64
Sint-Lambrechts-Woluwe,84,2023,29060,15966,54.94,Brussels Hoofdstedelijk Gewest,1,46528,60771,7.29,8336,93.4,30.61
Anderlecht,70,2023,53250,23658,44.43,Brussels Hoofdstedelijk Gewest,1,87812,126581,17.91,7068,63.7,44.15
Brussel,71,2023,94259,33717,35.77,Brussels Hoofdstedelijk Gewest,4,133859,196828,33.09,5948,70.7,47.04
Sint-Pieters-Woluwe,85,2023,19257,12320,63.98,Brussels Hoofdstedelijk Gewest,1,37922,42571,8.94,4762,110.6,12.26
Oudergem,78,2023,16217,9628,59.37,Brussels Hoofdstedelijk Gewest,1,28804,35350,8.97,3941,100.0,22.73
Ukkel,86,2023,39458,23374,59.24,Brussels Hoofdstedelijk Gewest,1,74221,86806,22.87,3796,111.7,16.96
Saint-Nicolas,263,2023,10587,7543,71.25,Luik,3,23171,24491,6.91,3544,73.6,5.7
Saint-Nicolas,264,2023,10587,7543,71.25,Luik,3,23171,24491,6.91,3544,73.6,5.7
Mortsel,42,2023,11603,8107,69.87,Antwerpen,1,25086,26588,7.78,3417,113.4,5.99
Borsbeek,12,2023,4939,3656,74.02,Antwerpen,1,10373,11379,3.9,2918,98.0,9.7
Luik,248,2023,98890,54798,55.41,Luik,9,185639,195778,68.65,2852,81.3,5.46
Antwerpen,2,2023,242918,135764,55.89,Antwerpen,9,446525,544759,204.32,2666,88.0,22.0
Edegem,17,2023,10005,7952,79.48,Antwerpen,1,22253,23009,8.72,2639,124.4,3.4
Boom,10,2023,7827,5822,74.38,Antwerpen,1,15057,19431,7.38,2633,92.9,29.05
Kraainem,460,2023,5526,4302,77.85,Vlaams-Brabant,1,12692,13962,5.84,2391,115.7,10.01
Drogenbos,441,2023,2316,1645,71.03,Vlaams-Brabant,1,4693,5944,2.5,2378,88.2,26.66
Hemiksem,22,2023,4953,3919,79.12,Antwerpen,1,9151,12396,5.48,2262,104.1,35.46
Vilvoorde,487,2023,17511,13100,74.81,Vlaams-Brabant,2,34982,47445,21.57,2200,92.5,35.63
Wezembeek-Oppem,489,2023,5686,4602,80.94,Vlaams-Brabant,1,13622,14742,6.86,2149,125.7,8.22
Wemmel,488,2023,6979,5315,76.16,Vlaams-Brabant,1,13932,18179,8.77,2073,109.2,30.48
Niel,43,2023,4474,3517,78.61,Antwerpen,1,8405,10966,5.35,2050,101.2,30.47
Charleroi,103,2023,92180,58954,63.96,Henegouwen,15,200827,204322,102.95,1985,71.5,1.74
Watermaal-Bosvoorde,88,2023,11557,7207,62.36,Brussels Hoofdstedelijk Gewest,1,24454,25295,12.97,1950,108.2,3.44
Seraing,266,2023,29593,19865,67.13,Luik,4,60557,64266,35.25,1823,76.1,6.12
Leuven,463,2023,51608,27897,54.06,Vlaams-Brabant,5,88084,104009,57.51,1809,113.9,18.08
Oostende,561,2023,36893,21436,58.1,West-Vlaanderen,3,67279,72586,40.95,1773,98.8,7.89
Herstal,237,2023,17148,12431,72.49,Luik,4,36292,40814,23.36,1747,78.4,12.46
Gent,383,2023,122533,73444,59.94,Oost-Vlaanderen,14,224180,269597,157.77,1709,103.0,20.26
Quaregnon,147,2023,8326,5923,71.14,Henegouwen,2,19178,18959,11.21,1691,75.2,-1.14
Verviers,278,2023,24581,16078,65.41,Luik,6,53148,55770,33.01,1689,76.6,4.93
Beyne-Heusay,209,2023,5222,4015,76.89,Luik,3,11661,12018,7.29,1649,87.9,3.06
Denderleeuw,376,2023,8594,6723,78.23,Oost-Vlaanderen,3,16984,21056,13.86,1519,100.6,23.98
Colfontaine,107,2023,9035,6449,71.38,Henegouwen,3,20480,20745,13.75,1509,72.3,1.29
Lint,36,2023,3497,3028,86.59,Antwerpen,1,7864,8505,5.65,1505,123.9,8.15
Moeskroen,138,2023,25810,19144,74.17,Henegouwen,4,52492,59987,40.62,1477,82.3,14.28
Machelen,469,2023,5913,4646,78.57,Vlaams-Brabant,2,11838,16576,11.5,1441,87.0,40.02
Waterloo,518,2023,12515,10279,82.13,Waals-Brabant,1,28986,30596,21.32,1435,127.3,5.55
Kuurne,549,2023,5976,4834,80.89,West-Vlaanderen,1,12785,14145,10.11,1399,100.7,10.64
Hove,27,2023,3448,2883,83.61,Antwerpen,1,8306,8406,6.02,1396,145.8,1.2
Liedekerke,464,2023,5621,4418,78.6,Vlaams-Brabant,1,11800,14013,10.17,1378,103.0,18.75
Mechelen,38,2023,37755,26259,69.55,Antwerpen,6,75438,89313,65.79,1358,105.1,18.39
Aartselaar,1,2023,6186,5226,84.48,Antwerpen,1,14438,14890,11.02,1351,124.9,3.13
Wijnegem,63,2023,4386,3499,79.78,Antwerpen,1,8660,10580,7.88,1343,109.6,22.17
Zaventem,490,2023,14554,10972,75.39,Vlaams-Brabant,4,26901,36676,27.73,1323,101.3,36.34
Rixensart,513,2023,9554,7948,83.19,Waals-Brabant,3,21271,23096,17.56,1315,124.5,8.58
Châtelet,106,2023,15875,10964,69.06,Henegouwen,3,35452,35595,27.35,1301,75.9,0.4
Bredene,526,2023,8422,6358,75.49,West-Vlaanderen,1,14076,18180,14.25,1276,105.6,29.16
La Louvière,129,2023,35713,24852,69.59,Henegouwen,10,76568,81241,64.56,1258,79.8,6.1
Manage,136,2023,9959,7388,74.18,Henegouwen,5,21812,24108,19.43,1241,80.8,10.53
Ans,202,2023,12670,9344,73.75,Luik,4,27528,28989,23.35,1241,87.7,5.31
Fléron,232,2023,7443,5734,77.04,Luik,4,15891,16380,13.68,1197,93.5,3.08
Schoten,56,2023,14761,11744,79.56,Antwerpen,1,32733,34641,29.51,1174,116.7,5.83
Aalst,367,2023,39834,29441,73.91,Oost-Vlaanderen,9,84859,90995,78.66,1157,105.0,7.23
Izegem,542,2023,12910,10293,79.73,West-Vlaanderen,3,26532,29227,25.63,1140,100.6,10.16
Linkebeek,465,2023,1983,1566,78.97,Vlaams-Brabant,1,4751,4674,4.19,1116,123.9,-1.62
Schelle,54,2023,3639,2973,81.7,Antwerpen,1,7743,8614,7.83,1100,112.8,11.25
Farciennes,117,2023,4518,3234,71.58,Henegouwen,2,11336,11394,10.37,1099,65.5,0.51
Roeselare,567,2023,28828,22139,76.8,West-Vlaanderen,4,54199,66262,60.4,1097,99.9,22.26
Dison,223,2023,6182,4248,68.72,Luik,2,13978,15260,13.97,1092,66.5,9.17
Dilbeek,440,2023,17845,14352,80.43,Vlaams-Brabant,6,37722,44878,41.48,1082,114.9,18.97
Blankenberge,525,2023,10931,6475,59.24,West-Vlaanderen,2,17414,20559,19.02,1081,101.4,18.06
Menen,555,2023,14885,11319,76.04,West-Vlaanderen,3,32028,34417,33.16,1038,90.7,7.46
Willebroek,64,2023,11209,8669,77.34,Antwerpen,4,22508,28248,27.37,1032,100.0,25.5
Grimbergen,446,2023,16327,12784,78.3,Vlaams-Brabant,4,32930,39860,38.67,1031,114.9,21.04
Wommelgem,65,2023,5452,4444,81.51,Antwerpen,1,11762,13370,12.99,1029,110.5,13.67
Harelbeke,535,2023,13029,10641,81.67,West-Vlaanderen,3,26320,29904,29.4,1017,101.3,13.62
Boussu,98,2023,8914,6300,70.68,Henegouwen,2,20059,20283,20.08,1010,75.8,1.12
Vosselaar,61,2023,4794,4080,85.11,Antwerpen,1,10015,11801,11.83,998,115.6,17.83
Brasschaat,13,2023,16695,13453,80.58,Antwerpen,1,37138,38470,38.58,997,121.9,3.59
Zelzate,424,2023,5723,4482,78.32,Oost-Vlaanderen,1,12094,13704,13.77,995,95.5,13.31
Kortrijk,548,2023,34919,25768,73.79,West-Vlaanderen,8,74790,80032,80.69,992,104.4,7.01
Sint-Niklaas,414,2023,34396,25029,72.77,Oost-Vlaanderen,4,68290,81863,84.2,972,96.6,19.88
Sint-Niklaas,415,2023,10587,7543,71.25,Oost-Vlaanderen,4,68290,81863,84.2,972,96.6,19.88
Zwijndrecht,69,2023,8309,6303,75.86,Antwerpen,2,17801,19580,20.24,967,106.3,9.99
Ottignies-Louvain-la-Neuve,509,2023,14657,9905,67.58,Waals-Brabant,3,27380,31648,33.4,948,108.5,15.59
Halle,448,2023,17762,13374,75.3,Vlaams-Brabant,3,33655,42595,44.98,947,104.4,26.56
Morlanwelz,142,2023,8276,6232,75.3,Henegouwen,3,18429,19172,20.38,941,87.3,4.03
Kontich,32,2023,9123,7491,82.11,Antwerpen,2,19874,21693,23.8,911,124.9,9.15
Waregem,575,2023,17381,14109,81.17,West-Vlaanderen,4,35839,39997,44.5,899,108.3,11.6
Sint-Pieters-Leeuw,480,2023,13854,10902,78.69,Vlaams-Brabant,5,30013,36525,40.67,898,96.8,21.7
Stabroek,58,2023,8140,6743,82.84,Antwerpen,2,17143,18826,21.42,879,114.5,9.82
Beersel,431,2023,10064,8529,84.75,Vlaams-Brabant,5,22880,26505,30.4,872,116.4,15.84
Brugge,527,2023,56201,40084,71.32,West-Vlaanderen,8,116264,119869,140.99,850,110.6,3.1
Waver,519,2023,15280,12179,79.71,Waals-Brabant,3,31033,35558,42.11,844,112.4,14.58
Sambreville,360,2023,12620,9396,74.45,Namen,7,27197,28615,34.27,835,87.5,5.21
Dendermonde,377,2023,20966,16188,77.21,Oost-Vlaanderen,8,43137,47185,56.52,835,107.3,9.38
Tubeke,515,2023,11287,8844,78.36,Waals-Brabant,4,21461,28381,32.77,835,91.0,32.24
Turnhout,59,2023,20906,14756,70.58,Antwerpen,1,38596,47305,56.71,834,92.8,22.56
Frameries,120,2023,9944,7083,71.23,Henegouwen,5,20679,21671,26.09,831,83.3,4.8
Sint-Genesius-Rode,479,2023,7230,6112,84.54,Vlaams-Brabant,1,17998,18693,22.75,822,134.3,3.86
Chapelle-lez-Herlaimont,102,2023,6541,5033,76.95,Henegouwen,3,13909,14839,18.21,815,87.5,6.69
Wevelgem,577,2023,13706,11182,81.58,West-Vlaanderen,3,31374,31884,39.14,815,103.4,1.63
Chaudfontaine,218,2023,9166,7531,82.16,Luik,4,20607,20600,25.46,809,127.0,-0.03
Duffel,16,2023,7585,6049,79.75,Antwerpen,1,15971,18062,22.6,799,113.6,13.09
Ronse,409,2023,11241,8412,74.83,Oost-Vlaanderen,1,23849,27356,34.7,788,84.9,14.71
Hasselt,172,2023,37699,28416,75.38,Limburg,8,68058,80828,102.69,787,112.6,18.76
Melle,402,2023,5042,4131,81.93,Oost-Vlaanderen,2,10349,11981,15.34,781,119.2,15.77
Temse,417,2023,13267,10520,79.29,Oost-Vlaanderen,4,25533,31271,40.1,780,106.2,22.47
Genk,167,2023,27625,21710,78.59,Limburg,1,62842,67877,87.57,775,92.9,8.01
Eigenbrakel,497,2023,16973,13800,81.31,Waals-Brabant,3,35259,40461,52.32,773,116.6,14.75
Rumst,53,2023,6353,5361,84.39,Antwerpen,3,14583,15536,20.15,771,118.0,6.54
Lier,34,2023,17210,12567,73.02,Antwerpen,2,32191,38210,49.85,766,108.9,18.7
Affligem,429,2023,5368,4586,85.43,Vlaams-Brabant,3,11651,13651,17.92,762,117.3,17.17
Deerlijk,531,2023,5338,4542,85.09,West-Vlaanderen,1,11460,12670,16.97,747,106.9,10.56
Kapellen,30,2023,11661,9561,81.99,Antwerpen,1,25671,27782,37.22,746,126.2,8.22
Opwijk,472,2023,6090,5041,82.78,Vlaams-Brabant,2,11718,14866,19.92,746,114.4,26.86
Anderlues,91,2023,5433,4154,76.46,Henegouwen,1,11540,12809,17.2,745,84.5,11.0
Flémalle,231,2023,11866,9059,76.34,Luik,7,25777,27002,36.57,738,87.4,4.75
Eeklo,379,2023,10203,7417,72.69,Oost-Vlaanderen,1,19069,22401,30.45,736,98.6,17.47
Lebbeke,394,2023,8555,6929,80.99,Oost-Vlaanderen,3,17234,20059,27.3,735,108.8,16.39
Leopoldsburg,183,2023,7198,5710,79.33,Limburg,2,13796,16607,22.6,735,97.1,20.38
Wetteren,420,2023,11903,9116,76.59,Oost-Vlaanderen,3,22795,26960,37.02,728,106.6,18.27
Keerbergen,457,2023,5516,4775,86.57,Vlaams-Brabant,1,11992,13298,18.54,717,149.9,10.89
Destelbergen,378,2023,8119,6731,82.9,Oost-Vlaanderen,2,17172,19110,26.71,715,127.7,11.29
Oupeye,257,2023,11386,9045,79.44,Luik,7,23720,25743,36.09,713,93.1,8.53
Asse,430,2023,13891,10699,77.02,Vlaams-Brabant,6,27931,35755,50.22,712,105.5,28.01
Boortmeerbeek,437,2023,5393,4610,85.48,Vlaams-Brabant,2,11397,13348,18.77,711,129.7,17.12
Tremelo,486,2023,6462,5645,87.36,Vlaams-Brabant,2,13339,15417,21.89,704,120.8,15.58
Courcelles,108,2023,13625,10268,75.36,Henegouwen,4,29706,31337,44.52,704,84.5,5.49
Herent,449,2023,9519,7748,81.4,Vlaams-Brabant,3,18848,23007,32.74,703,133.4,22.07
Ingelmunster,541,2023,4947,4031,81.48,West-Vlaanderen,1,10651,11537,16.43,702,100.6,8.32
Tervuren,483,2023,9050,7404,81.81,Vlaams-Brabant,3,20181,23077,33.62,686,128.5,14.35
Merelbeke,403,2023,10743,8760,81.54,Oost-Vlaanderen,6,21786,25229,37.0,682,126.0,15.8
Grâce-Hollogne,234,2023,9780,7571,77.41,Luik,5,22503,23261,34.17,681,83.0,3.37
Ternat,482,2023,6672,5496,82.37,Vlaams-Brabant,3,14418,16578,24.71,671,115.2,14.98
Boechout,8,2023,5794,4701,81.14,Antwerpen,2,11919,13831,20.71,668,122.8,16.04
Montigny-le-Tilleul,141,2023,4582,3782,82.54,Henegouwen,2,10351,10141,15.23,666,112.2,-2.03
Heusden-Zolder,177,2023,13818,11617,84.07,Limburg,2,30105,35017,53.4,656,97.7,16.32
Wezet,284,2023,7958,6265,78.73,Luik,6,16617,18154,27.73,655,94.2,9.25
Bergen,95,2023,46477,29928,64.39,Henegouwen,19,90935,96358,147.56,653,86.5,5.96
Namen,354,2023,53414,34961,65.45,Namen,25,105419,114142,175.93,649,97.6,8.27
Lede,395,2023,8378,6781,80.94,Oost-Vlaanderen,5,16949,19310,29.89,646,112.5,13.93
Zele,423,2023,8799,6743,76.63,Oost-Vlaanderen,1,20394,21501,33.28,646,97.8,5.43
Soumagne,267,2023,7392,6145,83.13,Luik,6,14607,17351,27.19,638,98.8,18.79
Lokeren,399,2023,17927,13961,77.88,Oost-Vlaanderen,3,36458,43554,68.24,638,102.6,19.46
Haaltert,385,2023,8382,6931,82.69,Oost-Vlaanderen,4,17274,19402,30.52,636,114.3,12.32
Fontaine-l’Evêque,119,2023,7970,6004,75.33,Henegouwen,3,16968,18122,28.66,632,84.6,6.8
Kapelle-op-den-Bos,456,2023,4181,3427,81.97,Vlaams-Brabant,3,8783,9703,15.37,631,121.3,10.47
Hamme,386,2023,10919,8609,78.84,Oost-Vlaanderen,2,22685,25554,40.53,630,101.2,12.65
Kelmis,243,2023,5180,3816,73.67,Luik,3,10121,11352,18.04,629,90.9,12.16
De Pinte,374,2023,4617,4008,86.81,Oost-Vlaanderen,2,10124,11091,17.78,624,139.4,9.55
Beringen,160,2023,19108,16112,84.32,Limburg,4,39261,48353,78.56,615,97.5,23.16
Erpe-Mere,380,2023,8948,7362,82.28,Oost-Vlaanderen,8,19249,21013,34.41,611,114.5,9.16
Hulshout,28,2023,4685,3927,83.82,Antwerpen,3,8626,10594,17.38,610,107.8,22.81
Kortenberg,459,2023,8475,6950,82.01,Vlaams-Brabant,4,17355,21165,34.7,610,123.6,21.95
Nijlen,44,2023,9894,8300,83.89,Antwerpen,3,20423,23707,39.2,605,110.5,16.08
Sint-Katelijne-Waver,57,2023,8701,7247,83.29,Antwerpen,2,19038,21792,36.16,603,115.9,14.47
Herentals,23,2023,13103,10045,76.66,Antwerpen,3,25474,28865,47.95,602,108.7,13.31
Begijnendijk,432,2023,4444,3842,86.45,Vlaams-Brabant,2,9088,10615,17.66,601,115.8,16.8
Buggenhout,373,2023,6337,5308,83.76,Oost-Vlaanderen,2,13752,14957,25.64,583,116.0,8.76
Zoersel,68,2023,9315,7876,84.55,Antwerpen,2,20164,22557,38.68,583,121.2,11.87
Meise,470,2023,8273,6941,83.9,Vlaams-Brabant,2,18347,20299,35.07,579,126.1,10.64
Overijse,474,2023,10206,8698,85.22,Vlaams-Brabant,1,23738,25970,44.99,577,129.1,9.4
Sint-Martens-Latem,413,2023,3499,2951,84.34,Oost-Vlaanderen,2,8314,8208,14.45,568,163.3,-1.27
Hoeilaart,452,2023,4560,3816,83.68,Vlaams-Brabant,1,9783,11636,20.53,567,126.9,18.94
Schilde,55,2023,8421,7184,85.31,Antwerpen,2,19562,20319,36.09,563,140.4,3.87
Olen,45,2023,5391,4491,83.31,Antwerpen,1,10895,12824,23.12,555,107.7,17.71
Ninove,406,2023,17082,13371,78.28,Oost-Vlaanderen,12,34559,40363,73.12,552,103.7,16.79
Zonhoven,198,2023,9124,7808,85.58,Limburg,1,18940,21845,39.67,551,109.6,15.34
Binche,97,2023,15198,11399,75.0,Henegouwen,8,32190,33651,61.22,550,89.4,4.54
Puurs-Sint-Amands,48,2023,11125,9268,83.31,Antwerpen,7,23296,26957,49.14,549,117.4,15.72
Roosdaal,476,2023,4770,4054,84.99,Vlaams-Brabant,4,10573,11958,21.92,546,118.9,13.1
Zemst,491,2023,9371,8155,87.02,Vlaams-Brabant,5,20553,23401,43.23,541,132.4,13.86
Putte,47,2023,8072,6777,83.96,Antwerpen,2,15394,18914,35.16,538,113.3,22.87
Steenokkerzeel,481,2023,4949,4185,84.56,Vlaams-Brabant,3,10419,12663,23.63,536,119.2,21.54
Londerzeel,467,2023,8047,6714,83.43,Vlaams-Brabant,3,17153,19404,36.53,531,117.6,13.12
Bonheiden,9,2023,6276,5278,84.1,Antwerpen,2,14089,15454,29.19,529,137.1,9.69
Knokke-Heist,544,2023,16836,12070,71.69,West-Vlaanderen,4,33148,32514,61.59,528,147.2,-1.91
Maasmechelen,187,2023,16386,13128,80.12,Limburg,8,35430,40219,76.28,527,87.3,13.52
Amay,200,2023,6330,5032,79.49,Luik,5,12987,14531,27.66,525,91.7,11.89
