city_name_in_dutch,city_id,year_of_cardata,total_households,total_households_with_car,percentage_car_having_households_of_total_households,province_or_region,count_of_submunicipalities,population_in_2000,population_in_2024,area_in_km2,population_density_per_km2,prosperity_index,population_increase_compared_to_2000
Hélécine,501,2023,1569,1316,83.88,Waals-Brabant,3,2848,3848,16.98,227,101.5,35.11
Kinrooi,180,2023,5179,4380,84.57,Limburg,4,11749,12406,54.8,226,96.1,5.59
Aubel,204,2023,1827,1518,83.09,Luik,1,3851,4252,18.85,226,113.3,10.41
Borgloon,163,2023,4940,4019,81.36,Limburg,13,10116,11580,51.32,226,104.3,14.47
Kluisbergen,390,2023,2923,2426,83.0,Oost-Vlaanderen,4,6086,6888,30.63,225,107.9,13.18
Beernem,524,2023,6841,5707,83.42,West-Vlaanderen,3,14525,16259,72.42,225,107.1,11.94
Erquelinnes,114,2023,4479,3329,74.32,Henegouwen,6,9713,10039,44.54,225,81.9,3.36
Koekelare,545,2023,3911,3199,81.79,West-Vlaanderen,3,8154,8827,39.44,224,97.2,8.25
Kruisem,392,2023,6700,5688,84.9,Oost-Vlaanderen,6,14452,15961,71.59,223,115.5,10.44
Rumes,150,2023,2305,1863,80.82,Henegouwen,3,5064,5351,24.01,223,91.6,5.67
Les Bons Villers,132,2023,4047,3438,84.95,Henegouwen,5,8728,9586,42.97,223,110.0,9.83
Wingene,579,2023,6243,5274,84.48,West-Vlaanderen,2,12517,15161,68.54,221,102.4,21.12
Dalhem,222,2023,3302,2864,86.74,Luik,8,6145,7712,36.11,214,110.2,25.5
Hoogstraten,26,2023,9245,7584,82.03,Antwerpen,5,17751,22278,105.39,211,99.9,25.5
Lontzen,247,2023,2512,2127,84.67,Luik,2,5010,6058,28.71,211,98.1,20.92
Crisnée,221,2023,1502,1320,87.88,Luik,5,2584,3539,16.97,209,113.6,36.96
Eupen,227,2023,9347,6854,73.33,Luik,2,17516,20093,96.0,209,97.1,14.71
Villers-Le-Bouillet,279,2023,2758,2371,85.97,Luik,5,5653,6836,32.86,208,105.7,20.93
Floreffe,341,2023,3322,2843,85.58,Namen,4,7092,8082,39.12,207,105.3,13.96
Oerle,254,2023,1724,1441,83.58,Luik,5,3317,4028,19.5,207,105.0,21.44
Oudsbergen,189,2023,9796,8448,86.24,Limburg,6,21642,23875,116.37,205,101.7,10.32
Sprimont,269,2023,6497,5573,85.78,Luik,5,12426,15141,74.46,203,115.0,21.85
Plombières,259,2023,4579,3758,82.07,Luik,5,9361,10771,53.17,203,90.7,15.06
Geldenaken,498,2023,6223,4947,79.5,Waals-Brabant,10,11483,14899,73.73,202,107.9,29.75
Hoegaarden,451,2023,2846,2369,83.24,Vlaams-Brabant,3,6014,6873,34.13,201,121.3,14.28
Le Roeulx,130,2023,3755,3049,81.2,Henegouwen,5,7931,8708,43.41,201,103.5,9.8
Glabbeek,444,2023,2210,1934,87.51,Vlaams-Brabant,4,5071,5425,26.99,201,119.6,6.98
Walhain,517,2023,2984,2616,87.67,Waals-Brabant,3,5412,7607,38.08,200,119.1,40.56
Pittem,565,2023,2864,2419,84.46,West-Vlaanderen,2,6629,6946,34.69,200,99.8,4.78
Itter,503,2023,2749,2366,86.07,Waals-Brabant,3,5651,7013,35.03,200,113.3,24.1
Merksplas,40,2023,3476,2899,83.4,Antwerpen,1,8055,8883,44.61,199,102.7,10.28
Linter,466,2023,3122,2650,84.88,Vlaams-Brabant,7,6852,7323,36.87,199,112.0,6.87
Hannuit,236,2023,7268,6028,82.94,Luik,18,13242,17134,86.49,198,107.9,29.39
Kaprijke,389,2023,2780,2361,84.93,Oost-Vlaanderen,2,6175,6660,33.64,198,113.8,7.85
Thimister-Clermont,273,2023,2282,1997,87.51,Luik,2,5075,5587,28.64,195,107.7,10.09
Thuin,154,2023,6852,5438,79.36,Henegouwen,8,14603,14871,76.65,194,101.4,1.84
Spiere-Helkijn,569,2023,888,729,82.09,West-Vlaanderen,2,1858,2063,10.82,191,99.7,11.03
Leuze-en-Hainaut,134,2023,6231,4752,76.26,Henegouwen,10,13031,14201,74.46,191,95.7,8.98
Peer,190,2023,7010,5918,84.42,Limburg,4,15251,16585,87.24,190,100.1,8.75
Perwijs,510,2023,4010,3410,85.04,Waals-Brabant,5,7057,9704,51.17,190,112.9,37.51
Bevekom,493,2023,2862,2499,87.32,Waals-Brabant,5,6199,7233,38.57,188,118.4,16.68
Zonnebeke,581,2023,5316,4470,84.09,West-Vlaanderen,5,11545,12705,68.09,187,98.8,10.05
Jurbeke,127,2023,4551,3657,80.36,Henegouwen,6,9229,10868,58.18,187,108.8,17.76
Houthulst,538,2023,4319,3456,80.02,West-Vlaanderen,3,8946,10464,56.02,187,93.7,16.97
Marchin,250,2023,2374,2025,85.3,Luik,2,4935,5612,30.16,186,104.7,13.72
Zoutleeuw,492,2023,3703,3060,82.64,Vlaams-Brabant,5,7791,8734,46.85,186,107.6,12.1
Lobbes,135,2023,2534,2073,81.81,Henegouwen,4,5520,5949,32.23,185,104.8,7.77
Bekkevoort,433,2023,2881,2317,80.42,Vlaams-Brabant,3,5726,6771,37.28,182,113.0,18.25
Seneffe,152,2023,4876,4023,82.51,Henegouwen,5,10528,11624,63.77,182,108.7,10.41
Pecq,144,2023,2525,2079,82.34,Henegouwen,5,5157,5966,33.15,180,95.8,15.69
Ruiselede,568,2023,2272,1949,85.78,West-Vlaanderen,1,5048,5484,30.62,179,102.0,8.64
Horebeke,388,2023,793,702,88.52,Oost-Vlaanderen,2,1968,2012,11.25,179,128.9,2.24
Verlaine,277,2023,1730,1557,90.0,Luik,4,3429,4361,24.4,179,114.5,27.18
Orp-Jauche,508,2023,3635,3143,86.46,Waals-Brabant,7,7437,9094,50.8,179,108.5,22.28
Moerbeke,404,2023,2888,2409,83.41,Oost-Vlaanderen,1,5753,6758,37.93,178,109.5,17.47
Genepiën,499,2023,6461,5474,84.72,Waals-Brabant,8,13757,16068,90.35,178,117.8,16.8
Fexhe-le-Haut-Clocher,230,2023,1431,1267,88.54,Luik,5,2930,3426,19.45,176,109.6,16.93
La Bruyère,352,2023,3556,3199,89.96,Namen,7,7836,9351,53.04,176,118.1,19.33
Geetbets,443,2023,2622,2191,83.56,Vlaams-Brabant,3,5793,6261,35.52,176,104.0,8.08
Brunehaut,100,2023,3379,2797,82.78,Henegouwen,9,7446,8099,46.55,174,93.1,8.77
Hechtel-Eksel,173,2023,5301,4472,84.36,Limburg,2,11149,12965,76.68,169,99.9,16.29
Assenede,369,2023,6410,5253,81.95,Oost-Vlaanderen,4,13579,14650,87.5,167,109.8,7.89
Fosses-la-Ville,343,2023,4414,3675,83.26,Namen,6,8750,10418,63.31,165,97.2,19.06
Poperinge,566,2023,8636,6845,79.26,West-Vlaanderen,6,19254,19921,120.37,165,92.8,3.46
Ravels,50,2023,6441,5307,82.39,Antwerpen,3,13099,15514,95.13,163,96.8,18.44
Eghezée,339,2023,6723,5823,86.61,Namen,16,13414,16866,103.22,163,110.8,25.73
Messancy,312,2023,3497,2815,80.5,Luxemburg,5,6902,8549,52.62,162,118.5,23.86
Aywaille,206,2023,5831,4631,79.42,Luik,4,10065,12880,79.92,161,99.4,27.97
Kortenaken,458,2023,3265,2785,85.3,Vlaams-Brabant,5,7443,7949,49.44,161,110.0,6.8
Yvoir,366,2023,4029,3360,83.4,Namen,9,7914,9136,57.11,160,104.7,15.44
Nandrin,252,2023,2354,2137,90.78,Luik,4,5376,5745,36.13,159,126.3,6.86
Gingelom,168,2023,3583,3054,85.24,Limburg,11,7600,8732,56.34,155,109.9,14.89
Wortegem-Petegem,422,2023,2649,2321,87.62,Oost-Vlaanderen,5,6071,6552,42.47,154,118.7,7.92
Raeren,260,2023,4793,3823,79.76,Luik,3,9550,11136,72.81,153,108.7,16.61
Herne,450,2023,2763,2351,85.09,Vlaams-Brabant,3,6372,6825,44.66,153,117.4,7.11
Langemark-Poelkapelle,550,2023,3354,2845,84.82,West-Vlaanderen,3,7656,8100,53.07,153,97.7,5.8
Geer,233,2023,1430,1266,88.53,Luik,7,2570,3558,23.6,151,109.4,38.44
Chièvres,105,2023,2889,2381,82.42,Henegouwen,6,6006,7168,47.37,151,96.2,19.35
Braives,213,2023,2609,2266,86.85,Luik,8,5352,6554,44.05,149,107.1,22.46
Walcourt,365,2023,8027,6718,83.69,Namen,16,16840,18465,123.64,149,102.0,9.65
Vloesberg,155,2023,1493,1200,80.38,Henegouwen,1,3194,3434,23.28,148,104.1,7.51
Marche-en-Famenne,309,2023,7951,6237,78.44,Luxemburg,7,16390,17972,122.07,147,93.9,9.65
Incourt,502,2023,2295,2004,87.32,Waals-Brabant,5,4114,5662,38.91,146,118.8,37.63
Héron,240,2023,2201,1953,88.73,Luik,4,4195,5598,38.41,146,108.7,33.44
Faimes,228,2023,1614,1429,88.54,Luik,5,3155,4128,28.53,145,112.9,30.84
Theux,272,2023,5184,4398,84.84,Luik,3,11170,12052,83.48,144,108.7,7.9
Mont-de-l’Enclus,140,2023,1566,1315,83.97,Henegouwen,4,3172,3879,27.16,143,100.6,22.29
Heers,174,2023,3159,2677,84.74,Limburg,12,6575,7593,53.06,143,101.0,15.48
Ramillies,511,2023,2567,2225,86.68,Waals-Brabant,7,5295,6700,49.08,137,111.0,26.53
Maarkedal,400,2023,2522,2194,86.99,Oost-Vlaanderen,4,6448,6323,46.15,137,117.4,-1.94
Merbes-le-Château,137,2023,1812,1445,79.75,Henegouwen,4,4032,4171,30.53,137,89.6,3.45
Hamoir,235,2023,1739,1400,80.51,Luik,3,3510,3780,27.75,136,96.9,7.69
Brugelette,99,2023,1653,1306,79.01,Henegouwen,5,3344,3853,28.59,135,91.1,15.22
Donceel,224,2023,1334,1180,88.46,Luik,4,2653,3119,23.45,133,116.6,17.57
Dinant,337,2023,6430,4354,67.71,Namen,11,12735,13328,100.05,133,87.1,4.66
Musson,313,2023,1900,1604,84.42,Luxemburg,2,3893,4668,35.37,132,99.0,19.91
Elzele,113,2023,2553,2136,83.67,Henegouwen,3,5580,5970,45.11,132,102.4,6.99
Malmedy,249,2023,5993,4611,76.94,Luik,3,11144,12950,100.37,129,95.8,16.21
Veurne,573,2023,5673,4346,76.61,West-Vlaanderen,11,11854,12542,97.21,129,99.5,5.8
Pepingen,475,2023,1718,1491,86.79,Vlaams-Brabant,6,4247,4592,35.93,128,123.7,8.12
Wasseiges,281,2023,1269,1120,88.26,Luik,4,2241,3138,24.48,128,100.1,40.03
Fernelmont,340,2023,3296,2910,88.29,Namen,10,6298,8210,65.82,125,112.9,30.36
Quévy,149,2023,3454,2885,83.53,Henegouwen,10,7474,8168,65.38,125,102.2,9.29
Opzullik,143,2023,3378,2924,86.56,Henegouwen,8,7471,8475,68.57,124,112.8,13.44
Damme,528,2023,4807,3988,82.96,West-Vlaanderen,6,11058,11207,90.36,124,112.3,1.35
Virton,327,2023,5126,3938,76.82,Luxemburg,6,11009,11368,95.63,119,94.1,3.26
Bever,435,2023,925,804,86.92,Vlaams-Brabant,1,1980,2276,19.24,118,109.5,14.95
Honnelles,126,2023,2287,1866,81.59,Henegouwen,10,5052,5176,44.27,117,99.8,2.45
Mettet,353,2023,5705,4858,85.15,Namen,9,11317,13529,116.97,116,99.2,19.55
Ciney,335,2023,7822,5846,74.74,Namen,9,14452,17183,147.87,116,95.7,18.9
Gesves,346,2023,2960,2615,88.34,Namen,5,5767,7481,65.03,115,109.9,29.72
Diksmuide,533,2023,7599,6021,79.23,West-Vlaanderen,15,15443,17228,150.74,114,96.1,11.56
Anthisnes,203,2023,1832,1606,87.66,Luik,4,3881,4220,37.32,113,107.6,8.73
Hastière,348,2023,3205,2305,71.92,Namen,7,4976,6148,56.59,109,82.9,23.55
Estinnes,116,2023,3375,2750,81.48,Henegouwen,9,7521,7955,73.29,109,96.7,5.77
Frasnes-lez-Anvaing,121,2023,5079,4286,84.39,Henegouwen,14,10872,12134,112.86,108,100.0,11.61
Anhée,330,2023,3115,2550,81.86,Namen,7,6771,7135,66.03,108,96.7,5.38
Modave,251,2023,1795,1577,87.86,Luik,4,3588,4207,40.42,104,108.4,17.25
Saint-Léger,320,2023,1519,1285,84.6,Luxemburg,3,3192,3716,36.25,103,109.7,16.42
Burdinne,214,2023,1355,1186,87.53,Luik,5,2709,3295,32.62,101,112.3,21.63
Hotton,302,2023,2533,2018,79.67,Luxemburg,4,4890,5706,57.02,100,87.0,16.69
Bastenaken,288,2023,7239,5628,77.75,Luxemburg,5,13391,16921,173.03,98,93.3,26.36
Hamois,347,2023,2966,2580,86.99,Namen,7,6462,7469,76.6,98,101.6,15.58
Sint-Laureins,411,2023,3068,2530,82.46,Oost-Vlaanderen,5,6513,7016,74.54,94,105.9,7.72
Assesse,331,2023,2975,2551,85.75,Namen,7,5992,7325,78.53,93,107.7,22.25
Lens,131,2023,1962,1571,80.07,Henegouwen,5,3729,4636,49.83,93,97.1,24.32
Vleteren,574,2023,1463,1211,82.78,West-Vlaanderen,3,3593,3600,38.58,93,88.6,0.19
Ohey,355,2023,2159,1900,88.0,Namen,6,4063,5226,56.68,92,99.1,28.62
Ferrières,229,2023,2246,1900,84.59,Luik,5,4208,5122,57.06,90,103.4,21.72
Voeren,196,2023,1894,1606,84.79,Limburg,6,4315,4406,50.61,87,100.0,2.11
Stavelot,270,2023,3243,2564,79.06,Luik,2,6479,7271,85.14,85,94.5,12.22
Celles,101,2023,2346,1989,84.78,Henegouwen,6,5415,5722,67.49,85,94.6,5.67
Florennes,342,2023,4958,3907,78.8,Namen,11,10668,11378,134.18,85,91.6,6.66
Habay,300,2023,3473,2902,83.56,Luxemburg,6,6968,8723,103.52,84,111.1,25.19
Heuvelland,536,2023,3435,2834,82.5,West-Vlaanderen,7,8399,7969,94.79,84,91.1,-5.12
Jalhay,241,2023,3722,3248,87.26,Luik,2,7497,8777,106.94,82,114.0,17.07
Attert,286,2023,2168,1843,85.01,Luxemburg,5,4118,5797,71.08,82,137.7,40.77
Weismes,282,2023,3265,2700,82.7,Luik,3,6503,7563,97.56,78,95.7,16.3
Rouvroy,318,2023,902,745,82.59,Luxemburg,4,1877,2144,28.1,76,92.7,14.22
Rochefort,359,2023,5596,4400,78.63,Namen,11,11747,12716,166.34,76,92.7,8.25
Beaumont,93,2023,3182,2542,79.89,Henegouwen,8,6577,7140,93.48,76,92.6,8.56
Etalle,296,2023,2485,2114,85.07,Luxemburg,6,4890,6024,79.44,76,115.6,23.19
Tinlot,274,2023,1100,969,88.09,Luik,5,2184,2777,37.26,75,109.0,27.15
Durbuy,294,2023,5293,4194,79.24,Luxemburg,12,9916,11506,157.08,73,91.6,16.03
Neufchâteau,315,2023,3367,2755,81.82,Luxemburg,6,6167,8260,114.46,72,94.6,33.94
Ouffet,256,2023,1230,1051,85.45,Luik,3,2474,2788,40.24,69,103.4,12.69
Martelange,310,2023,868,656,75.58,Luxemburg,1,1428,2064,29.98,69,95.1,44.54
Sankt Vith,265,2023,4451,3603,80.95,Luik,5,8941,10071,147.15,68,103.0,12.64
Couvin,336,2023,6524,4840,74.19,Namen,14,13249,13907,206.97,67,83.1,4.97
Libramont-Chevigny,306,2023,5071,3995,78.78,Luxemburg,8,9277,11972,179.21,67,95.9,29.05
Sivry-Rance,153,2023,2166,1765,81.49,Henegouwen,5,4506,4871,73.56,66,87.9,8.1
Bertrix,290,2023,4026,3055,75.88,Luxemburg,5,8054,9017,138.49,65,89.3,11.96
Somme-Leuze,362,2023,2549,2197,86.19,Namen,9,4170,6099,95.23,64,94.5,46.26
Clavier,219,2023,1965,1722,87.63,Luik,6,4120,4946,79.5,62,104.0,20.05
Alveringem,520,2023,2059,1715,83.29,West-Vlaanderen,9,4805,5023,80.71,62,91.8,4.54
Momignies,139,2023,2295,1807,78.74,Henegouwen,7,5128,5234,86.01,61,76.7,2.07
Philippeville,357,2023,4395,3457,78.66,Namen,17,7939,9521,157.35,61,90.1,19.93
Cerfontaine,334,2023,2233,1833,82.09,Namen,6,4334,4991,83.44,60,93.7,15.16
Bütgenbach,217,2023,2444,2016,82.49,Luik,2,5550,5652,97.04,58,93.7,1.84
Tintigny,324,2023,1859,1585,85.26,Luxemburg,4,3436,4605,81.88,56,102.7,34.02
Herstappe,176,2023,28,25,89.29,Limburg,1,85,76,1.35,56,111.0,-10.59
Vielsalm,326,2023,3525,2765,78.44,Luxemburg,4,7182,7940,140.7,56,89.9,10.55
Zuienkerke,582,2023,1177,1010,85.81,West-Vlaanderen,4,2790,2676,48.9,55,113.2,-4.09
Beauraing,332,2023,4209,3314,78.74,Namen,15,8096,9490,174.63,54,88.6,17.22
Havelange,349,2023,2172,1832,84.35,Namen,9,4622,5428,104.73,52,99.6,17.44
Baelen,207,2023,1963,1681,85.63,Luik,2,3852,4487,85.65,52,101.4,16.48
Meix-devant-Virton,311,2023,1212,1031,85.07,Luxemburg,5,2691,2819,54.97,51,95.7,4.76
Nassogne,314,2023,2431,1986,81.69,Luxemburg,8,4760,5735,113.11,51,94.4,20.48
Lo-Reninge,554,2023,1288,1082,84.01,West-Vlaanderen,4,3217,3216,63.4,51,92.0,-0.03
Saint-Hubert,319,2023,2573,1962,76.25,Luxemburg,6,5727,5693,111.99,51,91.3,-0.59
Paliseul,316,2023,2431,1977,81.32,Luxemburg,8,5006,5530,111.25,50,90.3,10.47
Onhaye,356,2023,1403,1184,84.39,Namen,7,3011,3231,65.67,49,95.0,7.31
Chimay,104,2023,4511,3371,74.73,Henegouwen,14,9759,9716,198.6,49,83.7,-0.44
Chiny,292,2023,2308,1915,82.97,Luxemburg,6,4885,5308,114.06,47,94.5,8.66
Viroinval,363,2023,2840,2151,75.74,Namen,8,5623,5649,121.22,47,84.1,0.46
Froidchapelle,122,2023,1894,1540,81.31,Henegouwen,5,3315,4084,86.54,47,85.1,23.2
Vaux-sur-Sûre,325,2023,2359,2030,86.05,Luxemburg,6,4176,6269,135.72,46,96.0,50.12
Wellin,328,2023,1358,1121,82.55,Luxemburg,5,2837,3147,67.86,46,97.4,10.93
Amel,201,2023,2341,2030,86.72,Luik,3,5069,5612,125.88,45,96.3,10.71
Tellin,322,2023,1091,932,85.43,Luxemburg,4,2229,2539,56.95,45,93.6,13.91
Houyet,350,2023,2237,1842,82.34,Namen,10,4433,5183,122.85,42,91.6,16.92
Erezée,295,2023,1494,1255,84.0,Luxemburg,4,2745,3345,78.89,42,95.4,21.86
Bertogne,289,2023,1473,1287,87.37,Luxemburg,3,2724,3767,91.66,41,92.3,38.29
Florenville,298,2023,2730,2032,74.43,Luxemburg,7,5546,5787,148.07,39,89.6,4.35
Rendeux,317,2023,1165,980,84.12,Luxemburg,4,2217,2707,69.23,39,90.4,22.1
Lierneux,244,2023,1580,1314,83.16,Luik,3,3317,3644,92.34,39,95.6,9.86
Libin,305,2023,2271,1907,83.97,Luxemburg,7,4341,5351,140.58,38,97.8,23.27
Trois-Ponts,275,2023,1188,947,79.71,Luik,3,2346,2547,68.83,37,95.9,8.57
Büllingen,216,2023,2379,2006,84.32,Luik,3,5287,5544,150.67,37,94.5,4.86
Bouillon,291,2023,2608,1899,72.81,Luxemburg,11,5437,5377,148.64,36,89.3,-1.1
Burg-Reuland,215,2023,1690,1416,83.79,Luik,2,3787,3961,109.84,36,97.1,4.59
Doische,338,2023,1337,1080,80.78,Namen,10,2840,2952,84.02,35,87.0,3.94
Léglise,307,2023,2172,1882,86.65,Luxemburg,5,3701,5839,173.72,34,101.5,57.77
Gouvy,299,2023,2329,1900,81.58,Luxemburg,5,4581,5474,165.35,33,88.3,19.49
Fauvillers,297,2023,966,821,84.99,Luxemburg,3,1838,2453,74.79,33,99.4,33.46
Houffalize,303,2023,2345,1876,80.0,Luxemburg,7,4501,5307,167.41,32,92.3,17.91
Bièvre,333,2023,1496,1230,82.22,Namen,10,3140,3476,109.55,32,84.7,10.7
Gedinne,344,2023,2121,1677,79.07,Namen,12,4344,4681,151.56,31,86.5,7.76
Manhay,308,2023,1600,1372,85.75,Luxemburg,6,2885,3715,120.18,31,97.0,28.77
Tenneville,323,2023,1232,1065,86.44,Luxemburg,3,2449,2881,91.95,31,96.3,17.64
Herbeumont,301,2023,760,607,79.87,Luxemburg,3,1434,1750,58.42,30,92.9,22.04
Stoumont,271,2023,1391,1184,85.12,Luik,5,2873,3150,108.54,29,103.7,9.64
La Roche-en-Ardenne,304,2023,1951,1466,75.14,Luxemburg,6,4107,4100,148.53,28,92.5,-0.17
Sainte-Ode,321,2023,1091,891,81.67,Luxemburg,3,2181,2720,97.94,28,86.0,24.71
Daverdisse,293,2023,606,506,83.5,Luxemburg,4,1360,1426,56.87,25,86.2,4.85
Vresse-sur-Semois,364,2023,1267,917,72.38,Namen,12,2810,2470,101.41,24,87.3,-12.1